Table 6.4 Skills data by typical education needed for entry, 2023;;;;;;;;;;;;;;;;;
Typical education needed for entry;Adaptability;Computers and information technology;Creativity and innovation;Critical and analytical thinking;Customer service;Detail oriented;Fine motor;Interpersonal;Leadership;Mathematics;Mechanical;Physical strength and stamina;Problem solving and decision making;Project management;Science;Speaking and listening;Writing and reading
Total, all occupations;3,8;3,0;2,7;3,1;3,3;3,6;2,5;3,5;3,2;2,6;1,9;2,2;3,5;2,7;1,7;3,2;3,3
  Doctoral or professional degree;4,2;3,6;2,9;3,7;3,4;3,9;2,2;3,8;3,4;2,9;1,5;1,6;4,0;2,7;2,6;3,8;4,1
  Master's degree;4,2;3,6;3,1;3,6;3,5;3,5;1,8;4,2;3,5;2,6;1,3;1,7;3,9;2,9;1,9;3,8;4,0
  Bachelor's degree;4,1;3,7;3,1;3,6;3,3;3,6;1,9;3,6;3,5;3,1;1,5;1,6;3,8;3,1;1,8;3,6;3,8
  Associate's degree;3,9;3,4;2,7;3,2;3,1;3,8;2,6;3,5;3,0;2,6;2,0;2,1;3,5;2,6;2,1;3,3;3,5
  Postsecondary nondegree award;3,8;2,9;2,6;2,9;3,2;3,8;3,1;3,5;2,9;2,4;2,4;2,7;3,4;2,5;1,9;3,1;3,1
  Some college, no degree;3,9;3,6;2,7;3,1;3,1;3,5;2,1;3,6;3,0;3,1;1,5;1,5;3,4;2,6;1,6;3,4;3,6
  High school diploma or equivalent;3,8;3,0;2,6;2,9;3,3;3,6;2,6;3,4;3,1;2,6;2,0;2,3;3,4;2,6;1,5;3,2;3,2
  No formal educational credential;3,5;2,2;2,3;2,5;3,3;3,4;2,8;3,2;2,9;2,3;2,0;2,7;3,0;2,3;1,4;2,9;2,6
Footnotes:;;;;;;;;;;;;;;;;;
Note: Skills scores range from 1.0 (Not important) to 5.0 (Extremely important). More information can be found on the EP definitions page: https://www.bls.gov/emp/documentation/definitions.htm.;;;;;;;;;;;;;;;;;
Note: Skills data for education categories are calculated using an employment-weighted average of the skills data for the detailed occupations within each education category.;;;;;;;;;;;;;;;;;
Source: Employment Projections program, U.S. Bureau of Labor Statistics;;;;;;;;;;;;;;;;;